ensembl_id	snoRNAs	Expression_level	Cancer	Bladder	Brain	Breast_aggressive	Breast_normal	Cervical	Colon	Gallbladder	Gastric	Hepatocellular	Leukemia	Lung	Myeloma	Osteosarcoma	Ovarian	Prostate	Renal	Reference
	SNORA1	Increased	BCBM, BRCA																	https://pubmed.ncbi.nlm.nih.gov/29287594/ https://www.sciencedirect.com/science/article/pii/S0304419X20302201?via%3Dihub
	SNORA10/ACA10	Increased	BCBM, GC, BRCA																	https://pubmed.ncbi.nlm.nih.gov/29287594/ https://pubmed.ncbi.nlm.nih.gov/31552164/ https://www.sciencedirect.com/science/article/pii/S0304419X20302201?via%3Dihub
	SNORA11	Increased	HCC, TNBC, Ameloblastoma, Sarcoma																	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9524901/ https://www.sciencedirect.com/science/article/pii/S0304419X20302201?via%3Dihub https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8021934/ https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7541128/#cam43361-sup-0007
	SNORA12	Decreased	HCC, CACX																	https://www.sciencedirect.com/science/article/pii/S0888754318306682?via%3Dihub https://www.sciencedirect.com/science/article/pii/S0888754318306682?via%3Dihub
	SNORA13/ACA13	Increased	OS																	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5695086/
	SNORA15/ACA15A	Increased	CRC																	https://pubmed.ncbi.nlm.nih.gov/28110922/
	SNORA16	Increased	ccRCC																	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8658237/
	SNORA16A	Increased	Larynx, BRCA																	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8677010/ https://www.sciencedirect.com/science/article/pii/S0304419X20302201?via%3Dihub
	SNORA16B	Increased	HCC																	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9524901/
	SNORA17A	Increased 	UM																	https://pubmed.ncbi.nlm.nih.gov/30569172/
	SNORA18	Increased	ccRCC, Pancreas																	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7011154/ https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6968780/
	SNORA18L5	Increased	HCC																	https://pubmed.ncbi.nlm.nih.gov/29702115/
	SNORA2	Decreased	ccRCC, Sarcoma																	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8658237/ https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7541128/#cam43361-sup-0007
	SNORA21/ACA21	Increased	CRC, TNBC, LC, NSCLC, GBC																	https://www.sciencedirect.com/science/article/pii/S0304419X20302201?via%3Dihub https://pubmed.ncbi.nlm.nih.gov/31052265/ https://pubmed.ncbi.nlm.nih.gov/31401397/ https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5552212/
	SNORA22	Increased	BCBM, BRCA, LGG, Pancreas																	https://pubmed.ncbi.nlm.nih.gov/29287594/ https://www.sciencedirect.com/science/article/pii/S0304419X20302201?via%3Dihub  https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8215672/ https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6968780/
	SNORA23/ACA23	Increased	PDAC																	https://pubmed.ncbi.nlm.nih.gov/28390868/
	SNORA24	Increased/Decreased	BCBM, HCC, BRCA																	https://pubmed.ncbi.nlm.nih.gov/29287594/ https://pubmed.ncbi.nlm.nih.gov/31478838/ https://www.sciencedirect.com/science/article/pii/S0304419X20302201?via%3Dihub
	SNORA26		Sarcoma																	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7541128/#cam43361-sup-0007
	SNORA2A	Increased	BCBM, BRCA																	https://pubmed.ncbi.nlm.nih.gov/29287594/ https://www.sciencedirect.com/science/article/pii/S0304419X20302201?via%3Dihub
	SNORA3	Increased	NSCLC																	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8508363/
	SNORA30	Increased	BCBM, BRCA																	https://pubmed.ncbi.nlm.nih.gov/29287594/ https://www.sciencedirect.com/science/article/pii/S0304419X20302201?via%3Dihub
	SNORA31/ACA31/SNORA31A	Decreased	CLL, LGG																	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9219770/ https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8215672/
	SNORA33	Decreased	NSCLC																	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7461500/
